"","year","national total","wa total","wa rank","king county total","nation aapi","wa aapi","wa aapi rank","king county aapi"
"1",1990,250.35,218.21,20,187.11,78.88,64.04,20,26.85
"2",2018,347.91,260.1,34,196.55,107.85,104.11,24,48.38
